# Netscape HTTP Cookie File
www.google.com	FALSE	/recaptcha	TRUE	13432209792321003	_GRECAPTCHA	
accounts.google.com	FALSE	/	TRUE	13451218173386722	ACCOUNT_CHOOSER	
.google.com	TRUE	/	TRUE	13432210183398601	__Secure-BUCKET	
.google.com.pk	TRUE	/	FALSE	13451219400415969	APISID	
.google.com.pk	TRUE	/	FALSE	13451219400413856	HSID	
.google.com.pk	TRUE	/	TRUE	13432469374416431	NID	
.google.com.pk	TRUE	/	TRUE	13451219400416120	SAPISID	
.google.com.pk	TRUE	/	FALSE	13451219400416535	SID	
.google.com.pk	TRUE	/	TRUE	13451219400414789	SSID	
.google.com.pk	TRUE	/	TRUE	13451219400416224	__Secure-1PAPISID	
.google.com.pk	TRUE	/	TRUE	13451219400416652	__Secure-1PSID	
.google.com.pk	TRUE	/	TRUE	13451219400416340	__Secure-3PAPISID	
.google.com.pk	TRUE	/	TRUE	13451219400416739	__Secure-3PSID	
myaccount.google.com	FALSE	/	TRUE	13451219543700436	OSID	
myaccount.google.com	FALSE	/	TRUE	13451219543700791	__Secure-OSID	
.youtube.com	TRUE	/	TRUE	13432534489602361	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13432534489602399	VISITOR_PRIVACY_METADATA	
.youtube.com	TRUE	/	TRUE	13432534489602434	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13432459553602233	__Secure-YNID	
.youtube.com	TRUE	/	TRUE	13452068485347281	LOGIN_INFO	
.youtube.com	TRUE	/	TRUE	13452068482869572	__Secure-3PAPISID	
.youtube.com	TRUE	/	TRUE	13452068482869740	__Secure-3PSID	
.youtube.com	TRUE	/	TRUE	13433067415558453	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13433067415558537	VISITOR_PRIVACY_METADATA	
.youtube.com	TRUE	/	TRUE	13434447117266518	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13434447117266105	__Secure-YNID	
.youtube.com	TRUE	/	TRUE	13435061457406117	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13435061457406155	VISITOR_PRIVACY_METADATA	
.youtube.com	TRUE	/	TRUE	13435061457406002	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13435061457405761	__Secure-YNID	
ai.google.dev	FALSE	/	FALSE	13435475008000000	django_language	
.youtube.com	TRUE	/	TRUE	13435478080365052	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13435478080365087	VISITOR_PRIVACY_METADATA	
ai.google.dev	FALSE	/	FALSE	13453647703000000	cookies_accepted	
.youtube.com	TRUE	/	TRUE	13435653157973140	__Secure-BUCKET	
.youtube.com	TRUE	/	TRUE	13436104726477162	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13436104726476852	__Secure-YNID	
.youtube.com	TRUE	/	TRUE	13436345046191279	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13436345046191322	VISITOR_PRIVACY_METADATA	
.youtube.com	TRUE	/	TRUE	13436345046191163	__Secure-ROLLOUT_TOKEN	
accounts.google.com	FALSE	/	TRUE	13452345189370985	LSOLH	
.youtube.com	TRUE	/	TRUE	13436947376531427	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13436947376531495	VISITOR_PRIVACY_METADATA	
.youtube.com	TRUE	/	TRUE	13436947376531295	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13436947376531035	__Secure-YNID	
ogs.google.com	FALSE	/	TRUE	13424502642000000	OTZ	
contacts.google.com	FALSE	/	TRUE	13424502712000000	OTZ	
mail.google.com	FALSE	/	TRUE	13424502737312254	__Host-GMAIL_SCH_GML	
mail.google.com	FALSE	/	TRUE	13424502737312088	__Host-GMAIL_SCH_GMN	
mail.google.com	FALSE	/	TRUE	13424502737312204	__Host-GMAIL_SCH_GMS	
.lensfrontend-pa.googleapis.com	TRUE	/	FALSE	13437732650697669	NID	
.youtube.com	TRUE	/	TRUE	13437483015528613	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13437483015528682	VISITOR_PRIVACY_METADATA	
.youtube.com	TRUE	/	TRUE	13437483015528550	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13437483014528438	__Secure-YNID	
chromewebstore.google.com	FALSE	/	TRUE	13424528139000000	OTZ	
docs.google.com	FALSE	/	TRUE	13424938559000000	OTZ	
.google.com	TRUE	/	FALSE	13456908754718697	APISID	
.google.com	TRUE	/	FALSE	13456908754717669	HSID	
mail.google.com	FALSE	/	TRUE	13456908754723021	OSID	
.google.com	TRUE	/	TRUE	13456908754719139	SAPISID	
.google.com	TRUE	/	FALSE	13456908754723464	SID	
.google.com	TRUE	/	TRUE	13456908754718280	SSID	
.google.com	TRUE	/	TRUE	13456908754719547	__Secure-1PAPISID	
.google.com	TRUE	/	TRUE	13456908754723863	__Secure-1PSID	
.google.com	TRUE	/	TRUE	13456908754719951	__Secure-3PAPISID	
.google.com	TRUE	/	TRUE	13456908754724289	__Secure-3PSID	
mail.google.com	FALSE	/	TRUE	13456908754723263	__Secure-OSID	
.youtube.com	TRUE	/	TRUE	13438066684869720	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13438066684869768	VISITOR_PRIVACY_METADATA	
.youtube.com	TRUE	/	TRUE	13438066684869812	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13438066684869460	__Secure-YNID	
.youtube.com	TRUE	/	TRUE	13438152853731720	VISITOR_INFO1_LIVE	
.youtube.com	TRUE	/	TRUE	13438152853731751	VISITOR_PRIVACY_METADATA	
.youtube.com	TRUE	/	TRUE	13438152853731669	__Secure-ROLLOUT_TOKEN	
.youtube.com	TRUE	/	TRUE	13438152853731522	__Secure-YNID	
play.google.com	FALSE	/	TRUE	13457510396741831	OSID	
play.google.com	FALSE	/	TRUE	13457510396741888	__Secure-OSID	
play.google.com	FALSE	/	TRUE	13425545680000000	OTZ	
chromewebstore.google.com	FALSE	/	TRUE	13457532012217312	OSID	
chromewebstore.google.com	FALSE	/	TRUE	13457532012217568	__Secure-OSID	
.chromewebstore.google.com	TRUE	/	FALSE	13457595749840074	_ga	
.chromewebstore.google.com	TRUE	/	FALSE	13457595749839351	_ga_730762J6ZY	
